Date,JulianDay,CIMIS_Eto_mm,Precip_mm,SolRad_W.sq.m,AvgVap_kPa,MaxAirTemp_C,MinAirTemp_C,AvgAirTemp_C,MaxRelHum,MinRelHum,AvgRelHum,DewPt_C,AvgwSpd_m.s,WndRun_Km,AvgSoilTemp_C
1/2/1996,2,1.17,0,99,1.1,15.6,5.2,10.7,100,73,88,8.9,2.2,188.2,11.7
1/3/1996,3,0.5,0,53,1.2,14.8,5.9,9.6,100,87,98,9.2,2.2,188.5,11.6
1/4/1996,4,0.39,0,45,1.1,14.1,6.1,9.8,100,74,93,8.7,1.3,109.3,11.5
1/5/1996,5,0.77,0,71,1.2,14.3,7.5,10.4,100,82,93,9.3,1.8,155.3,11.8
1/6/1996,6,0.89,0,91,1,14.1,4.6,8.1,100,79,97,7.7,1.1,91.6,11.5
1/7/1996,7,0.23,0,41,1.1,10.7,4.8,8.1,100,100,100,8.5,1.3,114.5,11.5
1/8/1996,8,0.28,0,44,1.2,11.7,7.7,9.2,100,97,100,9.4,1.3,115.4,11.9
1/9/1996,9,0.02,1,19,1.1,10.4,7.2,8.7,100,96,100,8.9,3.1,265.9,11.8
1/10/1996,10,2.14,0,112,1.1,17.9,6.1,11.8,100,53,78,8.2,5,432,11.7
1/11/1996,11,0.75,0,81,1,13.2,3.2,7.5,100,81,98,7.2,1.4,117.6,11.2
1/12/1996,12,0.03,1,24,1,8.6,4.1,7,100,100,100,7.3,1.4,116.8,11
1/13/1996,13,0.21,0,39,1,9.3,5.6,6.8,100,92,100,6.7,1.5,131.5,11.2
1/14/1996,14,0.02,0,19,0.9,6.9,5.5,6.1,100,95,100,6.1,1.6,140.9,11.1
1/15/1996,15,0.01,3,20,1.1,10.4,6.6,8.6,100,96,100,8.6,3.1,268.5,10.9
1/16/1996,16,0.58,25,34,1.3,18.7,9.8,12.6,100,67,89,10.7,5.9,513.7,11.1
1/17/1996,17,1.92,0,117,0.8,14.2,3.7,9.6,93,51,70,4.3,2.7,237.3,10.9
1/18/1996,18,0.08,9,16,1.1,13.9,7.3,9.7,99,83,92,8.4,4,341.8,10.6
1/19/1996,19,1.61,0,114,1.1,16.4,6.7,11.5,97,59,79,7.9,2.9,252.5,11.1
1/20/1996,20,0.56,11,44,1.1,13.8,3.8,9.1,99,78,91,7.7,3.6,307.6,10.7
1/21/1996,21,1.53,0,114,1,14,6.5,9.5,98,55,81,6.4,2.9,249.2,10.9
1/22/1996,22,1.96,0,126,0.7,11.2,1.5,6.8,100,50,75,2.6,3.1,270.8,10.4
1/23/1996,23,0.04,3,18,0.8,7.7,1.6,5.5,96,90,94,4.5,3.8,325,9.4
1/24/1996,24,0.29,10,40,1.2,14.3,6.9,10,100,94,98,9.8,5.9,509.1,9.8
1/25/1996,25,1.62,0,129,0.8,14.2,4.2,9.3,94,47,71,4.3,2.2,186.1,10.6
1/26/1996,26,0.38,0,48,0.9,9.1,2,6,100,82,91,4.7,1.6,139.4,9.9
1/27/1996,27,0.72,18,51,1.1,15,6.5,10.2,98,77,90,8.6,5.4,466,10
1/28/1996,28,1.48,0,130,0.9,14.3,1.9,7.5,100,58,85,5.2,1.3,108.8,10
1/29/1996,29,0.37,0,47,0.9,10.2,2.8,7,100,84,95,6.2,1.5,132.4,9.8
1/30/1996,30,0.41,13,46,1.1,10.5,7.3,8.5,100,89,96,7.9,3.9,339.7,10.1
1/31/1996,31,0.05,24,25,1.2,12.2,8.2,9.8,100,96,100,9.8,4.2,361.3,10.2
2/1/1996,32,1.54,0,126,1.1,17,5.7,11.2,99,69,86,8.9,2.6,227.8,10.5
2/2/1996,33,0.59,0,64,1.2,13.7,7.5,10.6,100,84,95,9.9,2.1,185.6,10.9
2/3/1996,34,0.05,6,26,1.3,13.2,10.2,11.1,100,95,99,11,2.3,199.8,11.2
2/4/1996,35,0.01,18,18,1.7,16.4,12.1,14.8,100,97,100,14.8,4.7,408,12.2
2/5/1996,36,1.82,17,129,1.6,21.2,11.8,16.3,100,61,88,14.4,2.8,238.9,13.5
2/6/1996,37,1.53,11,122,1.4,20.7,8.4,13.6,100,68,93,12.5,1.5,128.7,13.3
2/7/1996,38,0.3,9,52,1.4,14.7,8.4,11.4,100,96,100,11.6,1.5,127.2,12.9
2/8/1996,39,0.52,1,60,1.5,17.3,10.8,13.2,100,82,97,12.8,1.5,131.2,13
2/9/1996,40,1.34,0,107,1.5,19.5,10.7,14.4,100,75,93,13.4,1.6,138.8,13.1
2/10/1996,41,1.83,0,139,1.6,21.6,12.1,15.5,97,65,88,13.6,1.9,167.5,13.6
2/11/1996,42,2.5,0,149,1.4,22.8,8.9,14.9,100,55,83,12,2.5,218.9,13.5
2/12/1996,43,2.18,0,153,1.4,24.4,9.2,15,100,60,84,12.3,1.8,155.8,13.2
2/13/1996,44,0.55,0,67,1.5,19.2,8.7,12.8,100,84,100,12.9,1.1,99.3,13.3
2/14/1996,45,0.84,1,88,1.4,19,8.7,12.2,100,87,100,12.3,1.3,113.8,13.4
2/15/1996,46,0.32,8,51,1.5,17.1,9.7,13.2,100,93,100,13.3,1.9,166.7,13.5
2/16/1996,47,1.34,1,105,,21.1,0,17.8,100,79,,,1.4,123.6,14.7
2/17/1996,48,1.49,3,104,1.7,20.5,14.1,16.6,99,75,91,15.1,3.4,294.7,14.7
2/18/1996,49,0.99,11,80,1.5,18.1,11.2,14.7,99,81,92,13.4,3.6,313.5,14.5
2/19/1996,50,0.21,14,32,1.5,15.7,12,13.7,99,85,94,12.8,4.3,375,14.1
2/20/1996,51,0.93,12,71,1.4,16.4,11.3,13.1,98,82,92,11.9,5.8,498.4,13.7
2/21/1996,52,1.58,12,114,1,13.2,5.3,10.1,97,64,84,7.6,4.6,399.9,13.3
2/22/1996,53,2.12,0,169,0.8,13.6,3.7,7.5,97,46,75,3.4,1.9,164.2,12.4
2/23/1996,54,2.04,0,153,0.9,14.4,1.6,8.3,100,58,82,5.3,2.8,241.8,11.8
2/24/1996,55,2.12,0,151,0.7,12,2.8,7.1,94,49,74,2.7,3.1,270,11.8
2/25/1996,56,1.61,0,137,0.7,10.5,1.3,5.3,98,56,82,2.5,1.7,150.8,11.1
2/26/1996,57,2.51,0,180,0.6,12.8,-0.8,5.5,100,37,70,0.4,2.8,244.5,10.3
2/27/1996,58,0,18,19,0.8,5.9,2.6,4.2,100,88,96,3.6,3.2,277.1,9.6
2/28/1996,59,0.55,11,55,1,11,5.2,7.7,98,78,93,6.7,4.3,373.1,9.5
2/29/1996,60,1.24,2,94,1.1,13.8,6.9,10.2,100,77,89,8.4,3.5,305.9,10.2
3/1/1996,61,2.57,0,182,1.1,18,5,11.1,100,60,86,8.9,2.5,218.3,10.7
3/2/1996,62,2.56,0,183,1.1,21.4,4.6,12.1,100,45,77,8.2,1.6,141.4,11
3/3/1996,63,0.3,1,50,1.3,14.5,8.3,11.6,100,89,96,10.9,2.1,185.2,11.6
3/4/1996,64,0.72,13,66,1.3,15.4,10.1,12,100,84,93,11,5.1,438.6,11.9
3/5/1996,65,1.92,0,146,0.9,14.6,4.7,10.1,97,54,76,6,2.6,220.6,11.8
3/6/1996,66,2.3,0,173,0.9,15.5,3.1,9.3,100,52,78,5.6,2.3,198.9,11.5
3/7/1996,67,2.72,0,166,1.1,18.3,7.4,12.6,95,55,76,8.4,2.9,250.6,12
3/8/1996,68,2.41,0,168,1.2,21.9,5.2,13.8,97,53,76,9.6,1.4,124.4,12.2
3/9/1996,69,2.25,0,150,1.4,21.8,9.8,15,99,56,79,11.4,1.5,131.3,13
3/10/1996,70,1.54,1,114,1.4,19,8.3,13.3,98,73,88,11.4,3,257.6,13.1
3/11/1996,71,2.04,14,131,1.3,18.9,11.5,13.9,98,59,85,11.3,3.4,293.4,13.4
3/12/1996,72,0.38,25,50,1.2,15.1,9.5,11.1,100,78,92,9.9,3.7,323.2,13
3/13/1996,73,4.7,0,198,1,19.5,10.3,13.9,79,47,61,6.6,6.7,582.7,12.5
3/14/1996,74,3.5,0,201,1.1,22.2,7.7,14,93,41,68,8.2,2.9,254.4,12.8
3/15/1996,75,2.7,0,190,1.3,23.4,5.9,13.8,100,55,83,11,1.5,130.4,13.2
3/16/1996,76,4.71,0,196,1.1,23.8,7.7,15.8,100,34,59,7.9,4,345.9,13.3
3/17/1996,77,3.86,0,197,1.2,26.4,8,17,95,37,65,10.2,2.4,210,13.6
3/18/1996,78,3.17,0,200,1.5,27.1,9.9,17.3,99,43,77,13.3,1.4,119.3,14.2
3/19/1996,79,2.94,0,191,1.5,24.6,8.7,15.7,100,58,85,13.1,1.7,146.4,14.7
3/20/1996,80,3.17,0,206,1.4,25.3,7,15.1,100,48,80,11.7,1.7,149.6,14.6
3/21/1996,81,3.38,0,208,1.3,22.1,5.5,13.6,100,49,80,10.3,2.5,218.8,14.4
3/22/1996,82,4.18,0,206,0.9,18,7.2,12.2,94,36,61,4.9,4,344.6,14.1
3/23/1996,83,3.82,0,215,0.7,17.7,2.8,10.2,91,34,60,2.7,3,255.1,12.9
3/24/1996,84,3.32,0,199,1,17.4,3.1,10.4,97,54,76,6.5,3.3,288.6,12.6
3/25/1996,85,3.21,0,178,0.8,17.8,4.6,10.3,92,36,67,4.4,4,346.8,12.5
3/26/1996,86,3.87,0,218,0.7,20.4,1.2,11.6,79,34,52,2.1,2.5,216.4,12.5
3/27/1996,87,2.68,3,160,1.3,19.6,8,13.9,94,67,81,10.8,3.9,337.3,15.5
3/28/1996,88,3.97,0,221,0.8,17.8,3.3,12.2,94,27,56,3.7,3.4,292,17.7
3/29/1996,89,3.45,0,212,0.8,18.4,2.7,10.1,88,38,65,3.7,2.4,204.4,16
3/30/1996,90,3.55,0,228,0.9,20,4.9,12.1,97,30,63,5.2,1.8,151.3,15.9
3/31/1996,91,4.05,0,206,1,23.4,4.7,14.5,96,37,63,7.6,2.8,237.6,15.9
4/1/1996,92,0.09,35,26,1.4,15.1,7.9,12.8,100,83,95,12.1,3,261.4,15.8
4/2/1996,93,2.7,0,196,1.2,18.8,4.9,11.5,100,61,87,9.4,1.8,153.7,15.2
4/3/1996,94,3.31,0,229,1.3,21.2,5.8,13.1,100,56,84,10.4,1.7,145.3,15.7
4/4/1996,95,5.29,0,233,1.1,24.3,10.6,16.7,90,30,57,8.2,4.4,378.6,15.8
4/5/1996,96,4.4,0,243,1.1,26.6,7.6,17.1,94,30,58,8.6,1.9,162.2,15.9
4/6/1996,97,3.97,0,236,1.5,26.8,8.4,17.8,100,42,72,12.6,1.5,125.3,16.6
4/7/1996,98,4.1,0,238,1.6,28.2,11,19.1,100,41,71,13.8,1.4,120.8,17.3
4/8/1996,99,4.14,0,238,1.4,23.3,9.6,15.6,96,59,77,11.6,3.2,274.1,17.4
4/9/1996,100,2.66,0,172,1.3,20.2,8.2,14,98,67,83,11.2,3,261.4,16.7
4/10/1996,101,3.87,0,234,1.1,21.2,6.6,13.8,97,47,70,8.5,2.5,213.7,16.4
4/11/1996,102,3.64,0,201,1.1,21.4,6.6,13.9,99,43,68,8.2,2.5,212.1,16.3
4/12/1996,103,4.25,0,239,0.9,20,8.4,14.2,83,28,55,5.3,2.7,229.7,16.3
4/13/1996,104,4.68,0,246,0.8,22.4,6.5,14.3,84,20,50,4,2.8,241.1,15.9
4/14/1996,105,3.87,0,222,1.1,23.3,5.5,15.6,95,35,60,7.9,1.5,129.6,16
4/15/1996,106,1.89,0,95,1.2,20.8,10.4,14.7,88,44,72,9.7,3.5,299.2,16
4/16/1996,107,3.64,1,187,1.1,19.2,7.4,13.8,96,45,72,8.8,4.4,379.8,15.7
4/17/1996,108,1.86,7,127,1.1,17.3,6.1,11.3,100,59,85,8.9,2.8,242.4,15.1
4/18/1996,109,3.68,0,240,0.9,18.3,5.5,11.5,91,48,70,6.1,2,170.6,15.3
4/19/1996,110,0.94,0,83,1.1,14.5,4,10,98,68,87,8,2.6,228.2,14.7
4/20/1996,111,2.28,0,157,0.9,16.4,4.3,9.8,100,43,77,6,2.8,241.7,13.9
4/21/1996,112,3.56,0,225,1.1,20.2,4,12.6,99,53,77,8.8,1.8,157.5,14.3
4/22/1996,113,4.03,0,230,1.2,22.7,7.3,15.1,100,28,69,9.5,2,176.9,15.4
4/23/1996,114,4.18,0,201,1.2,25.1,8.7,16.8,98,34,62,9.5,2.5,215.5,15.7
4/24/1996,115,4.72,0,247,1.5,23.8,13.7,18.8,94,44,70,13.1,3.5,302.5,18
4/25/1996,116,7.48,0,284,1,29.3,13.3,20.9,69,24,41,7.1,4.7,408.3,19
4/26/1996,117,8.15,0,288,0.9,30.5,14.8,22.6,63,12,33,5.5,4.6,397.5,18.9
4/27/1996,118,11.31,0,288,0.5,25.9,14,20.4,37,15,20,-3,8.4,724.9,18
4/28/1996,119,10.7,0,290,0.6,28.7,16,21.6,31,16,23,-0.5,7.8,670.5,17.4
4/29/1996,120,6.57,0,297,0.8,31.8,11.7,21.9,59,14,31,4.1,2.2,191.6,18
4/30/1996,121,7.77,0,291,1.1,34.5,14.6,24.7,67,17,35,8.4,3.4,290.3,18.6
5/1/1996,122,7.98,0,296,1,34,16.5,25.2,61,12,30,6.5,3.4,294,18.9
5/2/1996,123,7.11,3,295,0.9,29.9,12.2,22.6,69,21,34,5.8,2.8,238.1,20.1
5/3/1996,124,6.1,0,285,0.7,25.1,10.2,17.4,63,19,36,2.1,2.8,237.6,20.8
5/4/1996,125,6.22,0,291,0.8,24.8,6.3,16.2,88,18,42,3.2,3.1,270.3,19.8
5/5/1996,126,5.64,0,283,0.8,24.9,8.7,16.4,79,28,45,4.5,2.6,223.7,19.4
5/6/1996,127,5.4,0,270,1,24.6,8.2,16.2,86,27,52,6.4,2.5,211.9,19.5
5/7/1996,128,5.26,0,274,1,24.9,6.8,15.7,90,29,54,6.5,2.5,212.3,19.3
5/8/1996,129,5.45,0,229,,24.3,0,17.7,80,31,,,2.9,251.4,19.9
5/9/1996,130,5.87,0,353,1,25.9,5.2,16,87,23,53,6.4,1.9,166.3,19.2
5/10/1996,131,5.97,0,353,1,30.5,7.9,18.3,88,21,50,7.6,1.6,138.1,22.2
5/11/1996,132,6.89,0,339,1.2,34.3,13.5,23.1,69,23,42,9.4,2,176.9,23.9
5/12/1996,133,7.02,0,350,1.5,34.9,13.4,24.3,79,29,48,12.7,1.9,165.2,23.7
5/13/1996,134,6.85,0,309,1.4,31.3,13.7,23.3,78,32,49,11.9,2.6,222,23.6
5/14/1996,135,3.69,0,187,1.7,22.5,15.4,18.7,86,67,78,14.8,4.4,381.5,22.3
5/15/1996,136,0.71,47,64,1.6,18.4,15.2,16.1,99,71,90,14.4,2.3,197.4,20.6
5/16/1996,137,1.88,12,124,1.7,20.4,14.4,16.7,98,73,88,14.7,3.8,332.1,19.7
5/17/1996,138,1.86,1,103,1.5,20.5,14.3,16.4,95,64,83,13.5,4.6,401.2,19.5
5/18/1996,139,3.55,0,206,1.4,19.5,10.4,15.6,96,61,78,11.8,3.8,329.8,19.3
5/19/1996,140,5.56,0,343,1.1,22.8,7.4,15.7,97,36,63,8.8,1.9,166.3,19.5
5/20/1996,141,5.7,0,328,1.1,23.4,9,15.9,97,36,62,8.6,2.3,199.4,19.9
5/21/1996,142,2.82,0,179,1.4,18.9,11.2,14.4,91,73,83,11.5,4.3,371.9,19.4
5/22/1996,143,6.3,0,336,1,22.7,9.2,15.9,97,23,56,7.2,3.4,295.8,19.1
5/23/1996,144,9.07,0,369,0.7,22.9,11.6,17.4,73,24,37,2.6,6.7,575.5,18.6
5/24/1996,145,9.3,0,368,0.9,26.4,13.3,19.7,59,26,39,5.2,6.6,570.8,18.3
5/25/1996,146,8.64,0,365,1.1,29.7,14,22.6,68,22,40,8.2,4.7,403.6,18.9
5/26/1996,147,6.32,0,353,1.3,20.3,12,16,85,61,73,11.2,6.1,526.3,18.9
5/27/1996,148,5.61,0,335,1.4,26,10.1,17.6,96,43,68,11.6,2.5,213.4,21.6
5/28/1996,149,5.85,0,332,1.3,23.8,11.5,17.3,89,44,67,11.1,2.9,250.6,23.7
5/29/1996,150,5.74,0,343,1.3,23.4,9.8,16.3,93,51,70,10.7,2.9,246.5,22.5
5/30/1996,151,5.96,0,336,1.3,26,9.3,17.5,92,43,64,10.7,2.2,190.1,22.5
5/31/1996,152,6.32,0,357,1.1,29.5,9.3,19.7,86,25,50,9,1.6,142,22.6
6/1/1996,153,7.8,0,364,1.4,33.8,12.7,24.1,87,20,47,11.9,2.5,215.7,22.7
6/2/1996,154,7.31,0,362,1.5,36.5,15.5,26.3,80,17,44,13,1.7,142.9,23.4
6/3/1996,155,7.56,0,360,1.6,38.1,16.2,27.4,80,21,44,14.1,2,174.2,24
6/4/1996,156,7.44,0,364,1.6,35.9,14.8,25.5,85,26,50,14.4,2.1,183.9,24.3
6/5/1996,157,8.1,0,360,1.5,37.8,16.7,27,88,21,43,13.2,2.5,215.7,25.6
6/6/1996,158,7.56,0,363,1.7,37.2,15.8,26.7,81,25,48,14.8,1.9,160.4,26.8
6/7/1996,159,7.06,0,359,1.6,34.8,15.2,23.7,78,35,56,14.3,2.1,182.6,26.6
6/8/1996,160,7.11,0,373,1.5,35.3,11.6,23.5,89,30,53,13.2,1.9,162.3,26.1
6/9/1996,161,7.99,0,375,1.2,34.2,15.6,25.5,72,21,36,9.4,2.3,202.9,26
6/10/1996,162,7.41,0,369,1.3,30.3,11.9,21.5,79,32,50,10.6,2.6,224.9,25.2
6/11/1996,163,7.03,0,364,1.4,33.1,11.7,22.4,86,31,53,12.2,2.1,184,24.9
6/12/1996,164,7.09,0,368,1.5,31.4,13,20.8,86,36,60,12.7,2.7,235.5,24.9
6/13/1996,165,6.67,0,371,1.4,27.5,10.5,18.8,91,42,63,11.7,2.8,239.7,24.7
